Bermuda	            ;0.462	
Ireland	            ;0.443
Italy	            ;0.422	
Cayman Islands	    ;0.413	
Liechtenstein	    ;0.410	
Germany	            ;0.402	
Belgium	            ;0.400	
UK	                ;0.397	
Switzerland	        ;0.361	
Bahamas	            ;0.357	
Denmark	            ;0.355	
Czech Republic	    ;0.352	
Austria	            ;0.336	
Cyprus	            ;0.334	
Cape Verde	        ;0.327	
Barbados	        ;0.314	
Guatemala	        ;0.295	
Netherlands	        ;0.288	
Estonia	            ;0.286	
Jamaica	            ;0.285	
Latvia	            ;0.283	
France	            ;0.278	
Lithuania	        ;0.270	
Australia	        ;0.254	
Uruguay	            ;0.250	
El Salvador	        ;0.247	
Greece	            ;0.246	
Luxembourg	        ;0.246	
Honduras	        ;0.244	
Spain	            ;0.243	
Singapore	        ;0.234	
Portugal	        ;0.231	
Sweden	            ;0.230	
Poland	            ;0.229	
Japan	            ;0.229	
Sierra Leone	    ;0.224	
Slovenia	        ;0.223	
Kenya	            ;0.220	
Mali	            ;0.217	
Belize	            ;0.217	
Aruba	            ;0.213	
Slovakia	        ;0.209	
Chile	            ;0.206	
New Zealand	        ;0.204
Burkina Faso	    ;0.204	
Gabon	            ;0.203	
Philippines	        ;0.203	
Rwanda	            ;0.203	
Colombia	        ;0.201	
Togo	            ;0.192	
Finland	            ;0.187	
Hong Kong	        ;0.187	
South Africa	    ;0.186	
Peru	            ;0.186	
USA	                ;0.181	
Senegal	            ;0.181	
Nicaragua	        ;0.176	
Romania	            ;0.175	
Israel	            ;0.174	
Panama	            ;0.172	
Uganda	            ;0.171	
Costa Rica	        ;0.169	
Iceland	            ;0.168	
Croatia	            ;0.168	
Moldova	            ;0.163	
Brazil	            ;0.159	
Norway	            ;0.152	
Cambodia	        ;0.150
Bulgaria	        ;0.146	
Malta	            ;0.145	
Namibia	            ;0.136
Mauritius	        ;0.134	
Madagascar	        ;0.129	
Mozambique	        ;0.127	
Ivory Coast	        ;0.127	
Thailand	        ;0.127	
Ghana	            ;0.127	
South Korea	        ;0.126	
Serbia	            ;0.125	
N. Maced.	        ;0.125	
Sri Lanka	        ;0.125	
Canada	            ;0.123	
Swaziland	        ;0.121	
Morocco	            ;0.118	
Dom. Rep.	        ;0.117	
Albania	            ;0.117	
Armenia	            ;0.111	
Hungary	            ;0.108	
Mexico	            ;0.106	
Maldives	        ;0.105
Lesotho	            ;0.102	
Bosnia & Herz.	    ;0.099	
Ecuador	            ;0.097	
Taiwan	            ;0.096	
Botswana	        ;0.094	
Indonesia	        ;0.092	
Tanzania	        ;0.091	
Jordan	            ;0.090	
Malawi	            ;0.087	
Cameroon	        ;0.083	
Belarus	            ;0.083	
UAE	                ;0.080	
Vietnam	            ;0.078	
Ukraine	            ;0.077	
India	            ;0.077	
China	            ;0.076	
Argentina	        ;0.074	
Venezuela	        ;0.069	
Tunisia	            ;0.067	
Turkey	            ;0.067	
Georgia	            ;0.067	
Pakistan	        ;0.065	
DR Congo	        ;0.064	
Russia	            ;0.063	
Bangladesh	        ;0.062	
Kazakhstan	        ;0.055	
Trinidad & Tobago	;0.055	
Paraguay	        ;0.053	
Saudi Arabia	    ;0.051	
Afghanistan	        ;0.050	
Malaysia	        ;0.049	
Bahrain	            ;0.048	
Azerbaijan	        ;0.047	
Suriname	        ;0.046
Nepal	            ;0.043	
Algeria	            ;0.040	
Kuwait	            ;0.037	
Nigeria	            ;0.036	
Uzbekistan	        ;0.034	
Qatar	            ;0.032	
Laos	            ;0.029
Oman	            ;0.028	
Burma	            ;0.026	
Egypt	            ;0.024	
Zambia	            ;0.023	
Cuba	            ;0.018
Iraq	            ;0.015	
Angola	            ;0.015	
Bhutan	            ;0.015	
Syria	            ;0.014	
Kyrgyzstan	        ;0.014	
Sudan	            ;0.007	
Ethiopia	        ;0.006
Iran	            ;0.003
